,Base Asset,Quote Asset,Price
0,ETH,ETHBTC,0.07385400
1,LTC,LTCBTC,0.00262400
2,BNB,BNBBTC,0.01357100
3,NEO,NEOBTC,0.00049200
4,QTUM,QTUMETH,0.00237200
5,EOS,EOSETH,0.00071000
6,SNT,SNTETH,0.00001929
7,BNT,BNTETH,0.00035100
8,BCC,BCCBTC,0.07908100
9,GAS,GASBTC,0.00012560
10,BNB,BNBETH,0.18360000
11,BTC,BTCUSDT,23907.32000000
12,ETH,ETHUSDT,1765.41000000
13,HSR,HSRBTC,0.00041400
14,OAX,OAXETH,0.00017780
15,DNT,DNTETH,0.00002801
16,MCO,MCOETH,0.00577200
17,ICN,ICNETH,0.00166300
18,MCO,MCOBTC,0.00021140
19,WTC,WTCBTC,0.00001249
20,WTC,WTCETH,0.00023700
21,LRC,LRCBTC,0.00001999
22,LRC,LRCETH,0.00027042
23,QTUM,QTUMBTC,0.00017520
24,YOYO,YOYOBTC,0.00000008
25,OMG,OMGBTC,0.00009850
26,OMG,OMGETH,0.00133400
27,ZRX,ZRXBTC,0.00001507
28,ZRX,ZRXETH,0.00020560
29,STRAT,STRATBTC,0.00003085
30,STRAT,STRATETH,0.00105300
31,SNGLS,SNGLSBTC,0.00000013
32,SNGLS,SNGLSETH,0.00005306
33,BQX,BQXBTC,0.00008703
34,BQX,BQXETH,0.00126350
35,KNC,KNCBTC,0.00006632
36,KNC,KNCETH,0.00089890
37,FUN,FUNBTC,0.00000029
38,FUN,FUNETH,0.00000467
39,SNM,SNMBTC,0.00000592
40,SNM,SNMETH,0.00004986
41,NEO,NEOETH,0.00666000
42,IOTA,IOTABTC,0.00001457
43,IOTA,IOTAETH,0.00019710
44,LINK,LINKBTC,0.00036390
45,LINK,LINKETH,0.00492500
46,XVG,XVGBTC,0.00000015
47,XVG,XVGETH,0.00000218
48,SALT,SALTBTC,0.00004250
49,SALT,SALTETH,0.00113800
50,MDA,MDABTC,0.00000449
51,MDA,MDAETH,0.00181150
52,MTL,MTLBTC,0.00005987
53,MTL,MTLETH,0.00080870
54,SUB,SUBBTC,0.00000457
55,SUB,SUBETH,0.00012334
56,EOS,EOSBTC,0.00005240
57,SNT,SNTBTC,0.00000142
58,ETC,ETCETH,0.02125000
59,ETC,ETCBTC,0.00156900
60,MTH,MTHBTC,0.00000023
61,MTH,MTHETH,0.00004135
62,ENG,ENGBTC,0.00006200
63,ENG,ENGETH,0.00186480
64,DNT,DNTBTC,0.00000229
65,ZEC,ZECBTC,0.00303600
66,ZEC,ZECETH,0.04112000
67,BNT,BNTBTC,0.00002595
68,AST,ASTBTC,0.00000446
69,AST,ASTETH,0.00006960
70,DASH,DASHBTC,0.00226000
71,DASH,DASHETH,0.03063000
72,OAX,OAXBTC,0.00000318
73,ICN,ICNBTC,0.00005742
74,BTG,BTGBTC,0.00122100
75,BTG,BTGETH,0.05274500
76,EVX,EVXBTC,0.00000274
77,EVX,EVXETH,0.00062490
78,REQ,REQBTC,0.00000571
79,REQ,REQETH,0.00004995
80,VIB,VIBBTC,0.00000070
81,VIB,VIBETH,0.00000931
82,HSR,HSRETH,0.01247400
83,TRX,TRXBTC,0.00000293
84,TRX,TRXETH,0.00003969
85,POWR,POWRBTC,0.00001091
86,POWR,POWRETH,0.00014870
